"Logo","Admin Name","ID","Created Date","Updated Date","Owner","Services_multireference","URL","repeaterBoxBackground","Publish Date","Unpublish Date","Status"
,"Pitney Bowes","064b6800-41f9-4c7d-a7d3-385a801e40e8",2025-12-08T14:40:55Z,2025-12-08T16:10:45Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""a63f86cf-6e0a-445a-b724-8993797f0b93""]","https://www.pitneybowes.com/us",,2025-12-08T14:37:24Z,,"PUBLISHED"
,"DentGuard","0722298d-abbb-4392-9d8b-42bbca680bc1",2025-12-08T14:38:58Z,2026-01-12T18:50:50Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""d3162a86-fd92-4b8d-bef9-437663c37cac""]","https://nobilisgroup.com/group1/","wix:image://v1/5d9024_dd36ec8e038c4c638df385ed07964b3b~mv2.jpg/#dedede_edited_edited.jpg#originWidth=54&originHeight=27",2025-12-08T14:37:24Z,,"PUBLISHED"
,"GSFS Group","167c280b-c907-42dd-a32d-a813503ad4b2",2025-12-08T14:39:23Z,2026-01-12T18:50:57Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""35ff068b-f722-45ad-9c32-bcf837840e01"",""90194a06-0f07-48e5-998b-e3bf8ed3788a"",""0419ace0-5d01-47e4-b287-1bed242e572a"",""3d04f1b9-13f1-4a95-97e0-a6eaf7f874e5"",""5723dfb8-c452-47c0-a239-abea2eeca6ad"",""7b9f45f0-41d3-48c0-979a-ab02d5889e54"",""afe10aae-ff84-4796-a502-807c5719bfe5""]","https://www.gsfsgroup.com/","wix:image://v1/5d9024_dd36ec8e038c4c638df385ed07964b3b~mv2.jpg/#dedede_edited_edited.jpg#originWidth=54&originHeight=27",2025-12-08T14:37:24Z,,"PUBLISHED"
,"iA American","1fef7df5-1538-4e59-8b72-e0cc82d572c4",2025-12-08T14:39:42Z,2026-01-12T18:51:07Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""35ff068b-f722-45ad-9c32-bcf837840e01"",""90194a06-0f07-48e5-998b-e3bf8ed3788a"",""0419ace0-5d01-47e4-b287-1bed242e572a"",""230ed101-caee-4a68-ae71-d122465b104f"",""a3612523-dc01-4ac2-9ad2-a1bc559b978f"",""9640a251-6be4-43e0-9ab4-f13ae4066392"",""5723dfb8-c452-47c0-a239-abea2eeca6ad"",""c41d3695-c808-48d3-b45c-bf6327d50ada"",""d3162a86-fd92-4b8d-bef9-437663c37cac"",""fd02b893-840f-4afe-ac52-78da7213e1c6"",""80c1c978-0766-4abf-bf7f-60e3e9588530"",""2228b34d-a92c-422d-8c1e-ee09e1b1e4f7"",""04179dd2-69c8-4016-a481-5d4fd398a8d4""]","https://www.iaawg.com/","wix:image://v1/5d9024_dd36ec8e038c4c638df385ed07964b3b~mv2.jpg/#dedede_edited_edited.jpg#originWidth=54&originHeight=27",2025-12-08T14:37:24Z,,"PUBLISHED"
,"Wise F&I","244e03a6-21ba-474d-82c7-77111520e3aa",2025-12-08T15:15:55Z,2025-12-08T16:15:06Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""35ff068b-f722-45ad-9c32-bcf837840e01"",""90194a06-0f07-48e5-998b-e3bf8ed3788a"",""0419ace0-5d01-47e4-b287-1bed242e572a"",""230ed101-caee-4a68-ae71-d122465b104f"",""1f5f7443-501a-4b2d-93a1-5fc8ea6228d5"",""145e759e-8bf5-47c8-b0f6-fc89ab16d54d"",""c41d3695-c808-48d3-b45c-bf6327d50ada"",""80c1c978-0766-4abf-bf7f-60e3e9588530""]","https://www.wisefandi.com/",,2025-12-08T14:37:24Z,,"PUBLISHED"
,"Line5","2b74ef4b-df79-4001-b3d5-058b70603bf6",2025-12-08T14:39:53Z,2025-12-08T16:08:24Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""a63f86cf-6e0a-445a-b724-8993797f0b93""]","https://www.line5.com/",,2025-12-08T14:37:24Z,,"PUBLISHED"
,"NAMAD","2cbc72ef-2c26-428e-ac35-3ec3539db470",2025-12-08T14:40:13Z,2025-12-08T16:09:43Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""f7e0de96-486e-4b5f-b824-6f6fbad1f74c"",""afe10aae-ff84-4796-a502-807c5719bfe5""]","https://namad.org/",,2025-12-08T14:37:24Z,,"PUBLISHED"
,"Performance Administrators","32740840-04a7-4d19-9f08-6d16f5d43cb8",2025-12-08T14:40:45Z,2025-12-08T16:10:31Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""35ff068b-f722-45ad-9c32-bcf837840e01"",""90194a06-0f07-48e5-998b-e3bf8ed3788a"",""145e759e-8bf5-47c8-b0f6-fc89ab16d54d""]","https://www.performanceadmin.com/",,2025-12-08T14:37:24Z,,"PUBLISHED"
,"The Zero Plan","3920210f-4009-4876-854f-6a5e9124986e",2025-12-08T15:16:08Z,2025-12-08T16:16:09Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""a63f86cf-6e0a-445a-b724-8993797f0b93""]","https://thezeroplan.com/wp/",,2025-12-08T14:37:24Z,,"PUBLISHED"
,"Xzilon","3d1d9fbd-2d34-4c9b-ac84-8954d8f43bb2",2025-12-08T15:16:01Z,2025-12-08T16:15:58Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""c41d3695-c808-48d3-b45c-bf6327d50ada""]","https://www.xzilon.com/",,2025-12-08T14:37:24Z,,"PUBLISHED"
"wix:image://v1/90af59_c1ab8196a8d84e918b6839340cbdebb3~mv2.jpg/LibertyShield_Logo_edited.jpg#originWidth=2892&originHeight=2088","Liberty Shield","44138663-2590-4414-b1dc-a9878817b077",2025-12-08T14:39:47Z,2026-01-12T18:52:55Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""35ff068b-f722-45ad-9c32-bcf837840e01"",""90194a06-0f07-48e5-998b-e3bf8ed3788a"",""0419ace0-5d01-47e4-b287-1bed242e572a"",""5723dfb8-c452-47c0-a239-abea2eeca6ad"",""c41d3695-c808-48d3-b45c-bf6327d50ada"",""d3162a86-fd92-4b8d-bef9-437663c37cac"",""80c1c978-0766-4abf-bf7f-60e3e9588530"",""04179dd2-69c8-4016-a481-5d4fd398a8d4"",""163c2383-fe15-4564-a694-a391012aa1c2"",""f8ba7535-c235-4688-84b8-ae669ed0ac05""]","https://libertyautousa.com/liberty-shield-vehicle-service-contract.html","wix:image://v1/5d9024_59b8a5b27842403e884cba5c7ffa3e80~mv2.png/transpaBG.png#originWidth=123&originHeight=27",2025-12-08T14:37:24Z,,"PUBLISHED"
,"CrystalFusion","5bc7c294-ca80-4f0b-b2d8-bb8867bd4c4b",2025-12-08T14:38:41Z,2026-01-12T18:50:48Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""fd02b893-840f-4afe-ac52-78da7213e1c6""]","https://cftproducts.com/","wix:image://v1/5d9024_dd36ec8e038c4c638df385ed07964b3b~mv2.jpg/#dedede_edited_edited.jpg#originWidth=54&originHeight=27",2025-12-08T14:37:24Z,,"PUBLISHED"
,"NAAC","63a20db9-2745-4a00-804f-75493c029037",2025-12-08T14:40:06Z,2025-12-08T16:08:47Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""35ff068b-f722-45ad-9c32-bcf837840e01"",""90194a06-0f07-48e5-998b-e3bf8ed3788a""]","https://www.northamericanautocare.co/",,2025-12-08T14:37:24Z,,"PUBLISHED"
,"OptionSoft","64b60fab-5c52-4f17-bd58-bad5d79840e3",2025-12-08T14:40:33Z,2025-12-08T16:10:14Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""9640a251-6be4-43e0-9ab4-f13ae4066392"",""04179dd2-69c8-4016-a481-5d4fd398a8d4""]","https://us.otiservices.com/",,2025-12-08T14:37:24Z,,"PUBLISHED"
,"NIADA","73850961-b3ac-4063-b632-2b64d12fff3d",2025-12-08T14:40:18Z,2025-12-08T16:09:51Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""f7e0de96-486e-4b5f-b824-6f6fbad1f74c"",""afe10aae-ff84-4796-a502-807c5719bfe5""]","https://niada.com/",,2025-12-08T14:37:24Z,,"PUBLISHED"
,"SPP","7793421c-1f6d-4452-89b4-e93e84b9fe9d",2025-12-08T15:15:27Z,2025-12-08T16:13:25Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""a63f86cf-6e0a-445a-b724-8993797f0b93""]","https://www.sppinc.net/",,2025-12-08T14:37:24Z,,"PUBLISHED"
,"NAC","7fc6fa83-9a32-416e-9a0f-8b4274f56de6",2025-12-08T14:40:10Z,2025-12-08T16:09:16Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""35ff068b-f722-45ad-9c32-bcf837840e01"",""90194a06-0f07-48e5-998b-e3bf8ed3788a"",""0419ace0-5d01-47e4-b287-1bed242e572a"",""230ed101-caee-4a68-ae71-d122465b104f"",""a3612523-dc01-4ac2-9ad2-a1bc559b978f"",""3d04f1b9-13f1-4a95-97e0-a6eaf7f874e5"",""9640a251-6be4-43e0-9ab4-f13ae4066392"",""1f5f7443-501a-4b2d-93a1-5fc8ea6228d5"",""145e759e-8bf5-47c8-b0f6-fc89ab16d54d"",""5723dfb8-c452-47c0-a239-abea2eeca6ad"",""c41d3695-c808-48d3-b45c-bf6327d50ada"",""d3162a86-fd92-4b8d-bef9-437663c37cac"",""fd02b893-840f-4afe-ac52-78da7213e1c6"",""f7e0de96-486e-4b5f-b824-6f6fbad1f74c"",""e3617770-97ff-4fc4-a8f8-2367e9e5d3c1"",""7b9f45f0-41d3-48c0-979a-ab02d5889e54"",""afe10aae-ff84-4796-a502-807c5719bfe5"",""80c1c978-0766-4abf-bf7f-60e3e9588530""]","https://easycare.com/",,2025-12-08T14:37:24Z,,"PUBLISHED"
,"Sonsio","870416f8-c0a1-43df-a944-9cf16f6994a8",2025-12-08T15:15:22Z,2025-12-08T16:12:26Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""0419ace0-5d01-47e4-b287-1bed242e572a"",""230ed101-caee-4a68-ae71-d122465b104f"",""c41d3695-c808-48d3-b45c-bf6327d50ada"",""d3162a86-fd92-4b8d-bef9-437663c37cac"",""fd02b893-840f-4afe-ac52-78da7213e1c6""]","https://www.sonsio.com/",,2025-12-08T14:37:24Z,,"PUBLISHED"
,"VisionMenu","889073e4-e3e6-4974-b1eb-ff8463d010fa",2025-12-08T15:15:36Z,2025-12-08T16:14:33Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""04179dd2-69c8-4016-a481-5d4fd398a8d4""]","https://www.visiondealersolutions.com/solutions/visionmenu",,2025-12-08T14:37:24Z,,"PUBLISHED"
,"GWC","89e8e86a-78fd-409a-99c8-eab5bd88e28e",2025-12-08T14:39:30Z,2026-01-12T18:51:00Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""35ff068b-f722-45ad-9c32-bcf837840e01"",""145e759e-8bf5-47c8-b0f6-fc89ab16d54d""]","https://gwcwarranty.com/","wix:image://v1/5d9024_dd36ec8e038c4c638df385ed07964b3b~mv2.jpg/#dedede_edited_edited.jpg#originWidth=54&originHeight=27",2025-12-08T14:37:24Z,,"PUBLISHED"
,"Global Lending Services","8a4bc5f6-4945-4dd7-9f53-379b9bd01b44",2025-12-08T14:39:06Z,2026-01-12T18:50:53Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""40058a89-d049-4134-a3a0-81351f7bbf3e""]","https://glsauto.com/","wix:image://v1/5d9024_dd36ec8e038c4c638df385ed07964b3b~mv2.jpg/#dedede_edited_edited.jpg#originWidth=54&originHeight=27",2025-12-08T14:37:24Z,,"PUBLISHED"
,"CBA","8b7fa37d-6190-441c-b293-5902215ca896",2025-12-08T14:38:26Z,2026-01-12T18:50:43Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""9640a251-6be4-43e0-9ab4-f13ae4066392""]",,"wix:image://v1/5d9024_dd36ec8e038c4c638df385ed07964b3b~mv2.jpg/#dedede_edited_edited.jpg#originWidth=54&originHeight=27",2025-12-08T14:37:24Z,,"PUBLISHED"
,"Warrantech","9958254e-f3d4-41d8-a45d-3ce48c672945",2025-12-08T15:15:41Z,2025-12-08T16:14:45Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""35ff068b-f722-45ad-9c32-bcf837840e01"",""90194a06-0f07-48e5-998b-e3bf8ed3788a"",""0419ace0-5d01-47e4-b287-1bed242e572a"",""c41d3695-c808-48d3-b45c-bf6327d50ada"",""e3617770-97ff-4fc4-a8f8-2367e9e5d3c1"",""afe10aae-ff84-4796-a502-807c5719bfe5"",""80c1c978-0766-4abf-bf7f-60e3e9588530""]","https://www.warrantech.com/",,2025-12-08T14:37:24Z,,"PUBLISHED"
,"Reahard & Associates","a0bba41e-c81a-4789-b48a-c82b6a593b2a",2025-12-08T14:41:11Z,2025-12-08T16:11:17Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""9640a251-6be4-43e0-9ab4-f13ae4066392""]","https://go-reahard.com/",,2025-12-08T14:37:24Z,,"PUBLISHED"
,"Alpha","a1b936f5-277b-4bce-9d37-5158d3aec47e",2025-12-08T14:38:11Z,2026-01-12T18:50:26Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""35ff068b-f722-45ad-9c32-bcf837840e01"",""90194a06-0f07-48e5-998b-e3bf8ed3788a"",""0419ace0-5d01-47e4-b287-1bed242e572a"",""230ed101-caee-4a68-ae71-d122465b104f"",""3d04f1b9-13f1-4a95-97e0-a6eaf7f874e5"",""5723dfb8-c452-47c0-a239-abea2eeca6ad"",""c41d3695-c808-48d3-b45c-bf6327d50ada""]","https://alphawarranty.com/","wix:image://v1/5d9024_dd36ec8e038c4c638df385ed07964b3b~mv2.jpg/#dedede_edited_edited.jpg#originWidth=54&originHeight=27",2025-12-08T14:37:24Z,,"PUBLISHED"
,"CertifiedVehicle.com","aae871f7-47c0-4d99-8b16-46d1b578fe5c",2025-12-08T14:38:29Z,2026-01-12T18:50:45Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""35ff068b-f722-45ad-9c32-bcf837840e01"",""afe10aae-ff84-4796-a502-807c5719bfe5""]","https://certifiedvehicle.com/","wix:image://v1/5d9024_dd36ec8e038c4c638df385ed07964b3b~mv2.jpg/#dedede_edited_edited.jpg#originWidth=54&originHeight=27",2025-12-08T14:37:24Z,,"PUBLISHED"
,"NSD","b485af9e-9b49-46a2-8420-ff50d6d38389",2025-12-08T14:40:21Z,2025-12-08T16:09:59Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""90194a06-0f07-48e5-998b-e3bf8ed3788a"",""0419ace0-5d01-47e4-b287-1bed242e572a"",""230ed101-caee-4a68-ae71-d122465b104f"",""a3612523-dc01-4ac2-9ad2-a1bc559b978f"",""3d04f1b9-13f1-4a95-97e0-a6eaf7f874e5"",""24f13018-c0dc-4162-9e9c-8bc9fdb86d0f"",""4b1c91a4-89b2-4579-abb5-c2e0526e1063"",""d3162a86-fd92-4b8d-bef9-437663c37cac"",""fd02b893-840f-4afe-ac52-78da7213e1c6"",""7b9f45f0-41d3-48c0-979a-ab02d5889e54"",""80c1c978-0766-4abf-bf7f-60e3e9588530""]","https://www.nationsafedrivers.com/",,2025-12-08T14:37:24Z,,"PUBLISHED"
,"LoJack","b807af59-aeb4-408a-8ae5-c56fb9ca2c44",2025-12-08T14:40:01Z,2025-12-08T16:08:31Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""f7e0de96-486e-4b5f-b824-6f6fbad1f74c"",""80c1c978-0766-4abf-bf7f-60e3e9588530"",""f8ba7535-c235-4688-84b8-ae669ed0ac05""]","https://www.lojack.com/",,2025-12-08T14:37:24Z,,"PUBLISHED"
,"Automatic","be5ed0c8-72af-4b3f-833d-79c7faed3e39",2025-12-08T14:38:17Z,2026-01-12T18:50:31Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""40058a89-d049-4134-a3a0-81351f7bbf3e""]","https://www.automaticusa.com/","wix:image://v1/5d9024_dd36ec8e038c4c638df385ed07964b3b~mv2.jpg/#dedede_edited_edited.jpg#originWidth=54&originHeight=27",2025-12-08T14:37:24Z,,"PUBLISHED"
,"Royal","bf6b5895-329e-4d83-a5db-427d9952dd45",2025-12-08T15:15:14Z,2025-12-08T16:11:45Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""35ff068b-f722-45ad-9c32-bcf837840e01"",""90194a06-0f07-48e5-998b-e3bf8ed3788a"",""0419ace0-5d01-47e4-b287-1bed242e572a"",""fd02b893-840f-4afe-ac52-78da7213e1c6"",""afe10aae-ff84-4796-a502-807c5719bfe5""]","https://www.royaladmin.com/",,2025-12-08T14:37:24Z,,"PUBLISHED"
,"PWI","c90da4ea-db1e-4e0d-b559-4849e8e04682",2025-12-08T14:41:06Z,2025-12-08T16:11:09Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""35ff068b-f722-45ad-9c32-bcf837840e01""]","https://www.preferredwarranties.com/",,2025-12-08T14:37:24Z,,"PUBLISHED"
,"Warranty Solutions","ce72163f-d8e9-41a4-beb7-d9d2b8cd0461",2025-12-08T15:15:47Z,2025-12-08T16:14:56Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""35ff068b-f722-45ad-9c32-bcf837840e01"",""90194a06-0f07-48e5-998b-e3bf8ed3788a"",""0419ace0-5d01-47e4-b287-1bed242e572a"",""230ed101-caee-4a68-ae71-d122465b104f"",""a3612523-dc01-4ac2-9ad2-a1bc559b978f"",""3d04f1b9-13f1-4a95-97e0-a6eaf7f874e5"",""145e759e-8bf5-47c8-b0f6-fc89ab16d54d"",""c41d3695-c808-48d3-b45c-bf6327d50ada"",""d3162a86-fd92-4b8d-bef9-437663c37cac"",""fd02b893-840f-4afe-ac52-78da7213e1c6"",""f7e0de96-486e-4b5f-b824-6f6fbad1f74c"",""7b9f45f0-41d3-48c0-979a-ab02d5889e54"",""afe10aae-ff84-4796-a502-807c5719bfe5"",""80c1c978-0766-4abf-bf7f-60e3e9588530"",""163c2383-fe15-4564-a694-a391012aa1c2""]","https://www.warrantysolutions.co/",,2025-12-08T14:37:24Z,,"PUBLISHED"
,"USA Car Coverage","e3949391-066a-4431-9745-be574d537688",2025-12-08T16:16:58Z,2025-12-08T16:17:44Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""35ff068b-f722-45ad-9c32-bcf837840e01"",""90194a06-0f07-48e5-998b-e3bf8ed3788a"",""0419ace0-5d01-47e4-b287-1bed242e572a""]","https://www.usacarcoverage.com/",,2025-12-08T16:16:58Z,,"PUBLISHED"
,"CARS","e441c6b1-8011-4b6e-b1d6-6ce7a231fbd2",2025-12-08T14:38:23Z,2026-01-12T18:50:40Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""35ff068b-f722-45ad-9c32-bcf837840e01""]","https://carsprotectionplus.com/","wix:image://v1/5d9024_dd36ec8e038c4c638df385ed07964b3b~mv2.jpg/#dedede_edited_edited.jpg#originWidth=54&originHeight=27",2025-12-08T14:37:24Z,,"PUBLISHED"
,"Allstate","e94ef0f8-91a2-4b9f-9f53-5a23595b932a",2025-12-08T14:38:08Z,2026-01-12T18:50:24Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""35ff068b-f722-45ad-9c32-bcf837840e01"",""90194a06-0f07-48e5-998b-e3bf8ed3788a"",""0419ace0-5d01-47e4-b287-1bed242e572a"",""a3612523-dc01-4ac2-9ad2-a1bc559b978f"",""3d04f1b9-13f1-4a95-97e0-a6eaf7f874e5"",""9640a251-6be4-43e0-9ab4-f13ae4066392"",""c41d3695-c808-48d3-b45c-bf6327d50ada"",""f7e0de96-486e-4b5f-b824-6f6fbad1f74c"",""80c1c978-0766-4abf-bf7f-60e3e9588530""]","https://vehicleprotection.allstate.com/","wix:image://v1/5d9024_dd36ec8e038c4c638df385ed07964b3b~mv2.jpg/#dedede_edited_edited.jpg#originWidth=54&originHeight=27",2025-12-08T14:37:24Z,,"PUBLISHED"
,"PayLink","ec60a99b-8435-42d7-96c9-33741caa66f4",2025-12-08T14:40:40Z,2025-12-08T16:10:22Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""a63f86cf-6e0a-445a-b724-8993797f0b93""]","https://paylinkdirect.com/",,2025-12-08T14:37:24Z,,"PUBLISHED"
,"Veritas","ee024c67-b2c6-4ab3-afdb-ff9a7f1e7cfa",2025-12-08T15:15:31Z,2025-12-08T16:14:14Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""35ff068b-f722-45ad-9c32-bcf837840e01"",""90194a06-0f07-48e5-998b-e3bf8ed3788a"",""0419ace0-5d01-47e4-b287-1bed242e572a"",""230ed101-caee-4a68-ae71-d122465b104f"",""a3612523-dc01-4ac2-9ad2-a1bc559b978f"",""3d04f1b9-13f1-4a95-97e0-a6eaf7f874e5"",""d3162a86-fd92-4b8d-bef9-437663c37cac"",""fd02b893-840f-4afe-ac52-78da7213e1c6""]","https://veritasglobalds.com/",,2025-12-08T14:37:24Z,,"PUBLISHED"
,"Headstart Warranty Group","efe63e91-a01b-453b-954d-c61c4f863597",2025-12-08T14:39:34Z,2026-01-12T18:51:04Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""35ff068b-f722-45ad-9c32-bcf837840e01"",""90194a06-0f07-48e5-998b-e3bf8ed3788a""]","https://www.headstartwarrantygroup.com/","wix:image://v1/5d9024_dd36ec8e038c4c638df385ed07964b3b~mv2.jpg/#dedede_edited_edited.jpg#originWidth=54&originHeight=27",2025-12-08T14:37:24Z,,"PUBLISHED"
,"Gold Standard","f20b420a-1e23-4b83-83c6-8e7bb235ee42",2025-12-08T14:39:16Z,2026-01-12T18:50:55Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""35ff068b-f722-45ad-9c32-bcf837840e01"",""90194a06-0f07-48e5-998b-e3bf8ed3788a"",""0419ace0-5d01-47e4-b287-1bed242e572a"",""3d04f1b9-13f1-4a95-97e0-a6eaf7f874e5"",""5723dfb8-c452-47c0-a239-abea2eeca6ad"",""e3617770-97ff-4fc4-a8f8-2367e9e5d3c1"",""80c1c978-0766-4abf-bf7f-60e3e9588530""]","https://goldstandardautomotive.com/","wix:image://v1/5d9024_dd36ec8e038c4c638df385ed07964b3b~mv2.jpg/#dedede_edited_edited.jpg#originWidth=54&originHeight=27",2025-12-08T14:37:24Z,,"PUBLISHED"
,"CALTEX","fa257875-e74a-40b9-87cf-f2ad53418e49",2025-12-08T14:38:20Z,2026-01-12T18:50:37Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""c41d3695-c808-48d3-b45c-bf6327d50ada""]","https://www.caltexus.com/products/appearance-protection/","wix:image://v1/5d9024_dd36ec8e038c4c638df385ed07964b3b~mv2.jpg/#dedede_edited_edited.jpg#originWidth=54&originHeight=27",2025-12-08T14:37:24Z,,"PUBLISHED"
,"AUL","fa66b3dd-6aae-4635-a5a5-b5b85929c5db",2025-12-08T14:38:15Z,2026-01-12T18:50:29Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""35ff068b-f722-45ad-9c32-bcf837840e01"",""90194a06-0f07-48e5-998b-e3bf8ed3788a"",""0419ace0-5d01-47e4-b287-1bed242e572a"",""230ed101-caee-4a68-ae71-d122465b104f"",""a3612523-dc01-4ac2-9ad2-a1bc559b978f"",""3d04f1b9-13f1-4a95-97e0-a6eaf7f874e5"",""145e759e-8bf5-47c8-b0f6-fc89ab16d54d"",""5723dfb8-c452-47c0-a239-abea2eeca6ad"",""c41d3695-c808-48d3-b45c-bf6327d50ada"",""d3162a86-fd92-4b8d-bef9-437663c37cac"",""fd02b893-840f-4afe-ac52-78da7213e1c6"",""f7e0de96-486e-4b5f-b824-6f6fbad1f74c"",""e3617770-97ff-4fc4-a8f8-2367e9e5d3c1"",""7b9f45f0-41d3-48c0-979a-ab02d5889e54"",""afe10aae-ff84-4796-a502-807c5719bfe5""]","https://www.protectiveassetprotection.com/","wix:image://v1/5d9024_dd36ec8e038c4c638df385ed07964b3b~mv2.jpg/#dedede_edited_edited.jpg#originWidth=54&originHeight=27",2025-12-08T14:37:24Z,,"PUBLISHED"
,"AAGI","fa865b94-a3b5-433d-8afd-901f08621fef",2025-12-08T14:37:24Z,2026-01-12T18:50:20Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""a3612523-dc01-4ac2-9ad2-a1bc559b978f"",""3d04f1b9-13f1-4a95-97e0-a6eaf7f874e5"",""e3617770-97ff-4fc4-a8f8-2367e9e5d3c1"",""7b9f45f0-41d3-48c0-979a-ab02d5889e54"",""afe10aae-ff84-4796-a502-807c5719bfe5"",""35ff068b-f722-45ad-9c32-bcf837840e01"",""90194a06-0f07-48e5-998b-e3bf8ed3788a"",""0419ace0-5d01-47e4-b287-1bed242e572a"",""c41d3695-c808-48d3-b45c-bf6327d50ada""]","https://www.aagi.com/","wix:image://v1/5d9024_dd36ec8e038c4c638df385ed07964b3b~mv2.jpg/#dedede_edited_edited.jpg#originWidth=54&originHeight=27",2025-12-08T14:37:24Z,,"PUBLISHED"
